eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
Semende;0.0854;-0.0508;0.3314;-0.2305;-0.0865;
Seletar;0.0854;-0.275;0.4931;-0.6644;-0.3483;
Abaknon;0.0854;-0.2833;0.5357;-0.8963;-0.5493;
Tay;0.0854;0.1571;0.1755;0.351;0.3374;
Bidayuh;0.0854;0.0495;0.2439;0.0048;0.061;
Batak;0.0854;-0.2391;0.6852;-1.1106;-0.7164;
Kalueng;0.0854;0.1732;0.1584;0.3639;0.3214;
Tompoun;0.0854;0.2262;0.2395;0.7284;0.7783;
Kadazan-Dusun;0.0854;-0.2576;0.5662;-0.8844;-0.5359;
Lun;0.0854;0.3451;0.4203;1.3079;1.704;
Tengger;0.0854;-3.8535;-3.0718;0.321;0.3364;
Manabo;0.0854;-0.2858;0.5076;-0.8156;-0.488;
Lisu;0.0854;0.6487;-0.3891;0.5034;0.2528;
Dai;0.0854;0.3101;0.1657;0.7338;0.5513;
Sumbanese;0.0854;-0.3189;0.5033;-0.8176;-0.4819;
Non-Malaysian (Chinese, Bajau, Kadazan-Dusun);0.0854;-0.196;0.5118;-0.6471;-0.359;
Tay Nung;0.0854;0.1627;0.1726;0.3632;0.3375;
Suay;0.0854;0.2008;0.157;0.2808;0.2258;
Toraja;0.0854;-0.4359;0.4964;-1.0065;-0.6247;
Ivatan;0.0854;-0.0983;0.4053;-0.8361;-0.4867;
Tetum, Mambai, Makasae;0.0854;-0.0984;0.6516;-0.9222;-0.6599;
Moken;0.0854;0.2996;0.0897;0.536;0.2802;
Javanese;0.0854;-0.1726;0.4483;-0.6119;-0.3537;
Paluang;0.0854;0.2671;0.0733;0.4709;0.3533;
Besemah;0.0854;-0.1628;0.4303;-0.5441;-0.3002;
Chinese;0.0854;-0.6484;0.5422;-1.401;-0.9162;
Bali Aga, Balinese;0.0854;-0.2209;0.4161;-0.5145;-0.2564;
IuMien;0.0854;0.2073;0.1241;0.4055;0.3667;
Arakanese (or Rakhine);0.0854;0.8239;-0.6453;0.3885;-0.0088;
The Kalanguya (or Ikalahan);0.0854;-0.4403;0.6714;-1.3553;-0.8849;
Southern Thai_TK;0.0854;0.2036;0.0698;0.165;0.0987;
Khamu;0.0854;0.1723;0.1322;0.331;0.2908;
Banjar;0.0854;-0.116;0.375;-0.4161;-0.2274;
Bugis;0.0854;-0.2727;0.5634;-0.8757;-0.5237;
Aini;0.0854;0.139;0.2417;0.1365;0.1836;
Kinh;0.0854;0.1359;0.1738;0.273;0.2712;
Han;0.0854;4.8153;-6.4398;-5.2188;-0.1852;
Maniq;0.0854;-0.0194;0.2574;-0.056;-0.0277;
Sumatrans;0.0854;-3.8535;-3.0718;0.321;0.3364;
Semelai;0.0854;-0.2147;0.49;-0.6182;-0.3759;
Southern Thai_AN;0.0854;0.0815;0.2788;-0.1255;-0.0186;
Bugkalot (or Ilongot);0.0854;-0.2702;0.4994;-0.7793;-0.4651;
Cebuano - Filipino;0.0854;-0.315;0.6275;-1.0324;-0.6344;
Taiwan;0.0854;0.2097;0.18;0.5002;0.4583;
Karen;0.0854;-0.4106;-0.4214;0.5109;-0.0637;
Kintaq;0.0854;-3.8535;-3.0718;0.321;0.3364;
Mang;0.0854;0.2793;0.0892;0.5294;0.4478;
Khmer;0.0854;0.2322;0.0641;0.3443;0.3072;
Ede;0.0854;0.1412;0.1561;0.4253;0.4117;
Nyahkur;0.0854;0.1581;0.1361;0.3481;0.283;
Cuyunin (or Cuyonon);0.0854;0.0201;0.7152;-0.7105;-0.3746;
Malay, Achehnese;0.0854;-0.1884;0.4818;-0.6063;-0.327;
Sasak;0.0854;-0.4283;0.4849;-0.9784;-0.6056;
Bumiputera;0.0854;-0.1553;0.3913;-0.4226;-0.2154;
Batak, Minangkabau, Acehnese, Lampung;0.0854;-0.247;0.5606;-0.8336;-0.4917;
Khon Mueang;0.0854;0.1802;0.1201;0.4283;0.2282;
Blang;0.0854;0.1752;0.1401;0.311;0.258;
Batek;0.0854;-0.2586;0.5913;-0.9745;-0.5909;
Lawa;0.0854;0.1594;0.1034;0.3494;0.2775;
Papuan;0.0854;-0.1937;0.7213;-1.1696;-0.8113;
LaChi;0.0854;0.2399;0.1368;0.4655;0.3922;
Lahu;0.0854;0.2017;0.1351;0.3398;0.2851;
Bamar (or Burman);0.0854;0.628;-0.4273;0.8966;-0.5202;
Alorese, Alor Malay, Alor-Pantar;0.0854;-0.1451;0.3728;-0.4305;-0.228;
Jingpo;0.0854;2.168;-2.1539;1.0613;-0.2015;
Minahasa;0.0854;-0.7786;0.045;-0.714;-0.415;
Kinh, Cham, Ede, Giarai;0.0854;0.0492;0.2031;0.133;0.1764;
Khmer Loeu;0.0854;0.1654;0.1456;0.3477;0.2932;
HaNhi;0.0854;0.1842;0.1357;0.4071;0.3349;
Kankanaey (or Igorot);0.0854;-0.4023;0.602;-1.1868;-0.7653;
Aeta (Agta);0.0854;-0.2282;0.6106;-1.2395;-0.8207;
LoLo;0.0854;0.2094;0.1622;0.3761;0.3366;
Malay;0.0854;-0.4315;0.1236;-0.3749;-0.1847;
Mlabri;0.0854;0.217;0.1302;0.4836;0.4284;
Giarai;0.0854;-0.0215;0.0312;0.3497;0.3294;
Surigaonon;0.0854;-0.2853;0.496;-0.8217;-0.5008;
PaThen;0.0854;0.1851;0.1422;0.4335;0.364;
Kreung;0.0854;0.3291;0.3969;1.2321;1.5905;
Phnong;0.0854;0.2868;0.3356;1.0021;1.1443;
Jehai;0.0854;-0.0097;0.2515;-0.0398;-0.0164;
Seak;0.0854;0.236;0.0955;0.3342;0.3269;
Minangkabau;0.0854;-0.1957;0.4705;-0.6062;-0.3259;
Bruneian Malay;0.0854;-0.1632;0.4323;-0.5079;-0.2762;
Bru (Brao);0.0854;0.2025;0.2376;0.555;0.6404;
Deang;0.0854;2.0304;-2.0469;0.5178;-0.0509;
Khuen;0.0854;0.2013;0.1414;0.4338;0.3776;
English;0.0854;0.5075;0.3391;2.6814;4.7157;
