eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
Mang;1e-04;9e-04;1e-04;0.0031;0.0022;
Khmer;5e-04;0.0038;3e-04;0.0083;0.0066;
Ede;2e-04;6e-04;8e-04;0.0058;0.0054;
Nyahkur;1e-04;5e-04;3e-04;0.0022;0.0015;
Cuyunin (or Cuyonon);1e-04;0;0.0042;0.0042;0.0012;
Malay, Achehnese;2e-04;0.0012;0.0078;0.0123;0.0036;
Sasak;2e-04;0.0054;0.0069;0.0282;0.0108;
Bumiputera;1e-04;5e-04;0.0029;0.0034;9e-04;
Batak, Minangkabau, Acehnese, Lampung;2e-04;0.0013;0.0068;0.015;0.0052;
Khon Mueang;4e-04;0.0018;8e-04;0.0104;0.003;
Blang;3e-04;0.0011;7e-04;0.0036;0.0024;
Batek;1e-04;7e-04;0.0039;0.0106;0.0039;
Lawa;4e-04;0.0014;6e-04;0.0068;0.0043;
Papuan;1e-04;3e-04;0.0048;0.0125;0.006;
LaChi;1e-04;8e-04;3e-04;0.0031;0.0022;
Lahu;1e-04;6e-04;3e-04;0.0018;0.0013;
Bamar (or Burman);1e-04;0.0073;0.0034;0.0149;0.005;
Alorese, Alor Malay, Alor-Pantar;1e-04;4e-04;0.0026;0.0035;0.001;
Jingpo;2e-04;0.0978;0.0965;0.0234;8e-04;
Minahasa;5e-04;0.0427;1e-04;0.0359;0.0121;
Kinh, Cham, Ede, Giarai;3e-04;1e-04;0.0014;6e-04;0.0011;
Khmer Loeu;2e-04;6e-04;5e-04;0.0026;0.0019;
HaNhi;2e-04;8e-04;4e-04;0.0039;0.0027;
Kankanaey (or Igorot);1e-04;0.0032;0.0072;0.0279;0.0116;
Aeta (Agta);1e-04;5e-04;0.0039;0.0161;0.007;
LoLo;1e-04;7e-04;4e-04;0.0022;0.0017;
Malay;3e-04;0.008;7e-04;0.0061;0.0015;
Mlabri;1e-04;7e-04;2e-04;0.0034;0.0027;
Giarai;2e-04;0;0;0.004;0.0035;
Surigaonon;2e-04;0.0017;0.0051;0.0139;0.0052;
PaThen;1e-04;4e-04;3e-04;0.0023;0.0017;
Kreung;1e-04;0.0015;0.0021;0.0204;0.034;
Phnong;1e-04;9e-04;0.0012;0.0104;0.0136;
Jehai;2e-04;0;0.0014;0;0;
Seak;2e-04;0.0013;2e-04;0.0027;0.0026;
Minangkabau;2e-04;0.0011;0.0065;0.0109;0.0031;
Bruneian Malay;1e-04;5e-04;0.0035;0.0049;0.0014;
Bru (Brao);2e-04;0.0012;0.0016;0.0087;0.0115;
Deang;1e-04;0.0478;0.0486;0.0031;0;
Khuen;1e-04;8e-04;4e-04;0.0038;0.0029;
English;1e-04;0.0021;9e-04;0.0583;0.1803;
Kinh, Muong, Khmer;1e-04;5e-04;1e-04;0.0024;0.0013;
Ambonese;3e-04;0.0071;0.0106;0.039;0.0147;
Mel Khaonh;1e-04;6e-04;6e-04;0.0053;0.0054;
Naga;1e-04;0.0508;0.0612;0.0056;0;
UrakLawoi;1e-04;0.001;1e-04;0.0035;0.0011;
Temuan;1e-04;1e-04;0.0014;3e-04;1e-04;
Mon;2e-04;0.003;3e-04;0.0068;1e-04;
Mamanwa;1e-04;0.0011;0.0032;0.0098;0.0037;
Ifugao;2e-04;0.0037;0.0102;0.0369;0.0153;
Jarai;1e-04;9e-04;7e-04;0.0066;0.0063;
Nung;3e-04;0.0013;9e-04;0.0072;0.0056;
Ibaloi;2e-04;0.0043;0.0088;0.0354;0.0146;
Dawei;1e-04;0.0045;0.0079;0.2817;0.583;
CoLao;1e-04;7e-04;3e-04;0.0033;0.0026;
Unknown;1e-04;1e-04;0.0019;0.0012;3e-04;
Isan (or Lao);6e-04;0.0021;6e-04;0.0086;0.0072;
Lao;2e-04;0.001;7e-04;0.0059;0.0069;
Cham;4e-04;0.0012;0.0014;0.0034;0.0026;
Hmong;2e-04;8e-04;3e-04;0.0055;0.0051;
SiLa;2e-04;6e-04;6e-04;0.0033;0.0023;
Ancient Thai;2e-04;0.0022;0;0.0026;0.0018;
H’tin;3e-04;0.0013;6e-04;0.0068;0.0048;
Chin;1e-04;0.0326;0.0289;0.0059;0;
Dao;2e-04;8e-04;7e-04;0.004;0.0033;
Stieng;1e-04;5e-04;0.001;0.0053;0.0078;
Nyaw;3e-04;0.0018;9e-04;0.0072;0.0059;
Phuan;4e-04;0.0013;0.0015;0.0051;0.0049;
Tai Yuan;4e-04;0.0026;3e-04;0.0071;0.0051;
Phutai;3e-04;0.0015;7e-04;0.0072;0.007;
Maranao;1e-04;0.0012;0.0043;0.0121;0.0052;
PhuLa;2e-04;0.0013;1e-04;0.0032;0.002;
Tagbanua;1e-04;0.009;0.006;0;2e-04;
Makassarese;2e-04;0.0059;0.0079;0.0309;0.0118;
Indonesian;1e-04;2e-04;0.003;0.003;8e-04;
Shan;3e-04;7e-04;7e-04;0.0044;0.0034;
Orang Asli;3e-04;0.6011;0.3819;0.0042;0.0046;
Sundanese;1;0;0;0;0;
Kensiu;1e-04;1e-04;0.0022;0.0022;8e-04;
Black Tai;2e-04;8e-04;5e-04;0.0038;0.0031;
Central Thai;3e-04;0.001;2e-04;0.0064;0.0011;
Achang;1e-04;0.0686;0.0698;0.0216;0.001;
Kinh, Tay, Thai, Muong, Hmong;1e-04;0;0.0048;0.0043;0.001;

inertia
0.2148833;0.4029192;0.8420106;0.2911508;0.2719448;0.2258904;0.3241758;0.1790185;0.2725481;0.5343259;0.7859812;0.3126997;0.2178876;0.50043;0.7507616;0.4017486;0.4459663;0.179573;0.5860142;0.1790185;0.3727674;0.3819854;0.7258377;0.2368724;0.3786133;0.3683965;0.2776921;0.3076028;0.6229188;0.800293;0.5692041;0.2267003;0.5820133;0.1864974;0.7344834;0.3631957;0.2679285;0.6012939;0.5574291;0.3821417;0.2270181;0.1365919;0.1509631;0.6121788;0.2114616;0.9014315;0.484381;0.1790185;0.7455776;0.1661504;0.1927;0.5668394;0.6706279;0.2983722;0.1790185;0.658211;0.1033527;0.2261204;0.3993611;0.8738512;0.2162247;0.2456095;0.3761131;0.3357951;0.1279234;0.1971371;0.6490078;0.130572;0.79157;0.5009925;0.4535378;0.3903957;0.3889977;0.3482175;0.1027694;0.2083768;0.3331047;0.3065329;0.3659024;0.6927875;0.4745253;0.1679624;0.496253;0.223516;0.3517853;0.5801175;0.5391495;0.6983907;0.3184314;0.3029618;0.2451262;0.3814505;0.257755;0.6245853;0.3615672;0.8938981;0.6270221;0.1616424;0.4450985;0.5023029;0.591203;0.3945139;0.308058;0.604289;0.2647186;0.498497;0.1787752;0.2949802;0.8999477;0.4343064;0.8229321;0.09393072;0.2700146;0.1397229;0.3378402;0.2470981;0.2455822;0.1790753;0.5675243;0.25431;0.76597;0.158621;0.1286079;0.1299755;0.1847286;0.4751092;0.3477831;0.7740037;0.2231121;0.4061624;0.1838708;0.1790185;0.9927537;0.5979706;0.3280308;0.1661101;0.6893265;0.8650734;
col
coord
   ;Dim 1;Dim 2;Dim 3;Dim 4;Dim 5;
M7c1c3;0.0854;-0.2448;0.4401;-0.6382;-0.3673;
F3a1;0.0854;0.0775;0.2425;0.1154;0.1525;
B4c1b2a2;0.0854;-0.2482;0.485;-0.729;-0.4242;
M7c1c3e;0.0854;-0.0784;0.3675;-0.3106;-0.1445;
Y2a;0.0854;-0.191;0.4659;-0.603;-0.3479;
F3b1a1;0.0854;-0.1445;0.4333;-0.4853;-0.2601;
F1a1a1;0.0854;0.1798;0.133;0.3348;0.281;
N7a2;0.0854;0.209;0.246;0.5794;0.6716;
M12b1a2a;0.0854;0.3343;0.4059;1.2528;1.6248;
M74;0.0854;0.1806;0.1185;0.377;0.4112;
B5a1a;0.0854;0.1831;0.1477;0.357;0.3279;
M74b2;0.0854;0.1225;0.1625;0.2365;0.1939;
M17c1a1a;0.0854;0.227;0.2649;0.6677;0.7721;
R22;0.0854;0.4963;-0.2317;0.4176;0.1574;
B4c1b2c2;0.0854;0.1885;0.1374;0.3427;0.2915;
F1f;0.0854;0.183;0.1289;0.2731;0.2368;
R22*;0.0854;0.184;0.1421;0.3488;0.3006;
M46;0.0854;0.2221;0.1066;0.4121;0.4086;
M12b1b;0.0854;0.2208;0.173;0.457;0.421;
R23;0.0854;0.1886;0.113;0.3232;0.2566;
M26;0.0854;-0.0102;0.3001;-0.1791;-0.0631;
M9a4a2;0.0854;0.1732;0.1616;0.3535;0.3568;
Z3c;0.0854;0.2397;0.0664;0.3594;0.3222;
N9a10+16311;0.0854;0.1823;0.1361;0.4121;0.3754;
B4c2;0.0854;0.1346;0.2334;0.1307;0.1751;
M7c1c2;0.0854;0.0571;0.2359;0.0311;0.0892;
R9b1b;0.0854;0.288;0.006;0.5031;0.3056;
B4h;0.0854;0.1721;0.1621;0.3659;0.339;
F1a1a;0.0854;0.1418;0.0945;0.3598;0.2687;
C7*;0.0854;0.1658;0.1255;0.3343;0.2472;
B5a1d;0.0854;0.1774;0.1523;0.3207;0.3163;
N;0.0854;0.2092;0.0712;0.2151;0.1363;
B4c2b;0.0854;-0.1572;0.4118;-0.4436;-0.215;
M73;0.0854;0.268;0.0159;0.4375;0.1752;
M12b1a2;0.0854;0.1835;0.142;0.3627;0.3124;
B4b1a2;0.0854;-0.2682;0.6064;-1.0951;-0.7076;
M23;0.0854;0.1721;0.1491;0.3629;0.3078;
M24a;0.0854;0.952;-0.7706;-0.0162;0.1297;
M7c1b2b;0.0854;-0.066;0.354;-0.2805;-0.1577;
M20*;0.0854;0.1972;0.0551;0.3619;0.303;
N9a6;0.0854;0.0505;0.2439;0.1903;0.2749;
M17a;0.0854;0.0191;0.2564;-0.0271;0.0173;
M51a2;0.0854;0.0765;0.225;0.0522;0.1039;
B5a1b1;0.0854;0.1948;0.1963;0.4506;0.4679;
R9b2;0.0854;0.1556;0.1007;0.3772;0.3145;
F3a;0.0854;-0.0089;0.2896;-0.1415;-0.0568;
R9b1a1a;0.0854;-3.7333;-2.967;0.3075;0.3208;
M21b2;0.0854;0.2718;0.0777;0.4546;0.2316;
M76*;0.0854;0.2366;0.0555;0.4163;0.126;
F1+16189;0.0854;0.1619;0.1501;0.2842;0.2556;
F2;0.0854;0.1627;0.1418;0.4028;0.4003;
M74b;0.0854;0.0998;0.0462;0.3822;0.251;
D4;0.0854;0.346;-0.0375;0.4798;0.2706;
U2b1;0.0854;0.3599;-0.1972;0.4596;-0.1211;
M74a;0.0854;0.2494;0.0905;0.4697;0.3805;
M13b1;0.0854;0.0306;0.2337;-0.0404;-0.0111;
M24b;0.0854;0.3004;0.1601;0.7029;0.5257;
M75;0.0854;0.1953;0.0768;0.3683;0.2875;
M51a1a*2;0.0854;0.2516;0.2106;0.6702;0.6468;
M17c;0.0854;0.138;0.1785;0.1605;0.1277;
B4c2c;0.0854;0.2984;0.2415;0.8641;0.8854;
N8*;0.0854;-0.0583;-0.126;0.422;0.1426;
M21b+210*;0.0854;0.104;0.1308;0.5144;0.5213;
M7b1a1f;0.0854;-0.1258;0.3894;-0.3631;-0.1546;
M51a;0.0854;1.2991;-1.2496;0.0364;0.0759;
N22;0.0854;0.0182;0.6412;-0.6194;-0.3216;
B5a1c;0.0854;0.1798;0.1624;0.3796;0.3368;
M72;0.0854;1.6063;-1.5093;0.6965;-0.027;
M51a1b;0.0854;0.1658;0.1394;0.3589;0.2951;
M68a1;0.0854;0.2259;0.336;0.7768;0.9401;
M17c1a1;0.0854;0.1795;0.0682;0.3884;0.2098;
M73b;0.0854;-0.0319;0.3011;-0.1171;-6e-04;
B4+16261;0.0854;0.1624;0.1547;0.3015;0.2928;
M13c*;0.0854;0.382;-0.1612;0.565;-0.0643;
M7b1a1;0.0854;0.1864;0.1964;0.5466;0.5869;
M59;0.0854;0.204;0.2071;0.5843;0.6134;
F1a1;0.0854;0.296;0.0512;0.4991;0.4127;
C7;0.0854;0.1547;0.1127;0.3856;0.3664;
M23'75;0.0854;0.1619;0.1571;0.3472;0.2984;
N21+195;0.0854;0.1885;0.0754;0.4642;0.2975;
M21b;0.0854;0.1613;0.2068;0.0801;0.0112;
M68a2;0.0854;0.2397;0.0664;0.3594;0.3222;
F4a2;0.0854;0.1877;0.1448;0.4191;0.3844;
M68a1a;0.0854;0.2015;0.2148;0.6295;0.6541;
M7b1a1a2;0.0854;-0.0561;0.3158;-0.1715;-0.0435;
M69a;0.0854;0.2591;0.2794;0.8531;0.9359;
N7b;0.0854;0.2369;0.2201;0.6658;0.6585;
W3b;0.0854;0.2397;0.0664;0.3594;0.3222;
F1a1d;0.0854;0.1286;0.1493;0.3007;0.2891;
M1'20'51;0.0854;1.5934;-1.4948;0.7716;-0.0704;
B5a*;0.0854;0.1619;0.1177;0.4004;0.3725;
R9b;0.0854;0.1963;0.11;0.3948;0.377;
B6a;0.0854;0.2123;0.1296;0.4408;0.3682;
M7b1a1e1;0.0854;0.1409;0.1174;0.3331;0.3016;
M76a;0.0854;0.1578;0.1009;0.4358;0.3755;
N9a6*;0.0854;0.2397;0.0664;0.3594;0.3222;
N9a6a;0.0854;-0.1012;0.4102;-0.4109;-0.2438;
N7a1;0.0854;0.2397;0.0664;0.3594;0.3222;
M12b1a2b;0.0854;0.3112;0.375;1.1325;1.4512;
M68a2a;0.0854;0.3397;0.4109;1.2862;1.668;
M3d1a*;0.0854;0.1971;0.1639;0.4872;0.5319;
M21b1;0.0854;0.1971;0.1639;0.4872;0.5319;
B5b;0.0854;0.1713;0.1712;0.3954;0.4195;
M71+151;0.0854;0.0966;0.115;0.4355;0.4066;
M51b*;0.0854;0.1727;0.2205;0.4651;0.491;
M51b1a;0.0854;0.1931;0.189;0.5327;0.527;
M51b1b;0.0854;0.296;0.3475;1.0461;1.2;
M12b2a*;0.0854;0.2784;0.3457;0.9804;1.1374;
M91b;0.0854;0.2237;0.3247;0.7544;0.9033;
M91b*;0.0854;0.2257;0.3402;0.7831;0.9495;
R9c1a;0.0854;-0.1596;0.4254;-0.5603;-0.3171;
F3b1a;0.0854;-0.2237;0.3214;-0.4349;-0.2278;
M7b1a1+(16192);0.0854;0.0851;0.1881;0.1321;0.1422;
B4a1a1;0.0854;-0.4239;0.4794;-0.958;-0.5915;
B4a1a;0.0854;-0.397;0.4465;-0.8956;-0.5493;
E2a;0.0854;-0.4025;0.4461;-0.8645;-0.5224;
E1a2+(16261);0.0854;-0.3023;0.4145;-0.6225;-0.3344;
F3b1b;0.0854;-0.2613;0.6143;-1.014;-0.6398;
E1a1a1;0.0854;-0.2156;0.474;-0.7382;-0.437;
B4a2a;0.0854;-0.1197;0.3882;-0.4344;-0.2385;
B5a1d*2;0.0854;-0.1681;0.4455;-0.568;-0.3148;
Y2a1;0.0854;-0.2393;0.5414;-0.7985;-0.4689;
M69;0.0854;-0.1681;0.4455;-0.568;-0.3148;
N9a6a*3;0.0854;-0.1681;0.4455;-0.568;-0.3148;
M7c1c3b;0.0854;-0.1907;0.4933;-0.6401;-0.3577;
F1a4a1;0.0854;-0.2605;0.4444;-0.7128;-0.4237;
B4a1a5;0.0854;-0.1983;0.5072;-0.6572;-0.3698;
E1a1a1a;0.0854;-0.3668;0.4639;-0.8529;-0.5187;
M74b1;0.0854;0.0947;0.1809;-0.0874;-0.032;
E1a1b;0.0854;-0.0974;0.4793;-0.3911;-0.1912;
N10;0.0854;-0.0993;0.4713;-0.3949;-0.1954;
M73*1;0.0854;-0.1197;0.3882;-0.4344;-0.2385;
F1a3a;0.0854;-0.2407;0.6427;-1.0547;-0.6754;
M7b1a2a1;0.0854;-0.3052;0.6061;-0.9889;-0.6049;
Q1;0.0854;-0.1887;0.6241;-0.9668;-0.6425;
B4b1a2i;0.0854;-0.1197;0.3882;-0.4344;-0.2385;
B4a1a3;0.0854;-0.1197;0.3882;-0.4344;-0.2385;
P1d1;0.0854;-0.2282;0.6562;-1.0735;-0.7309;
H2a2a1;0.0854;-0.1197;0.3882;-0.4344;-0.2385;
B5b1c;0.0854;-0.2505;0.5711;-0.9334;-0.5634;
M21a;0.0854;-0.0594;0.2304;-0.0841;-0.0723;
M77;0.0854;0.1224;0.1643;0.043;0.0445;
F3b1a+16093;0.0854;-0.2686;0.5268;-0.8624;-0.5594;
P1d;0.0854;-0.1155;0.6785;-0.9873;-0.7045;
F1a1a1*3;0.0854;-0.0974;0.4793;-0.3911;-0.1912;
H2a;-11.7047;0;0;0;0;
M7b1a1a1*;0.0854;-0.1781;0.4641;-0.6388;-0.3709;
M17c1a;0.0854;-0.0913;0.3989;-0.3619;-0.1742;
H2a2a1d;0.0854;-0.0974;0.4793;-0.3911;-0.1912;
B4a1a1q;0.0854;-0.1999;0.7467;-1.221;-0.8508;
F1a1a1*2;0.0854;-0.0974;0.4793;-0.3911;-0.1912;
E1a1b*;0.0854;-0.0974;0.4793;-0.3911;-0.1912;
E2a2;0.0854;-0.0974;0.4793;-0.3911;-0.1912;
E1a1;0.0854;-0.138;0.4836;-0.4915;-0.2641;
M71a2;0.0854;0.0228;0.247;0.0342;0.0502;
P;0.0854;-0.1999;0.7467;-1.221;-0.8508;
Q1a1;0.0854;-0.1999;0.7467;-1.221;-0.8508;
P4a;0.0854;-0.1999;0.7467;-1.221;-0.8508;
P2*1;0.0854;-0.1999;0.7467;-1.221;-0.8508;
D5b1c1a;0.0854;-0.6282;0.5238;-1.342;-0.8736;
M7c1a;0.0854;-0.1383;0.1375;-0.0315;0.0574;
Q3a+61+62;0.0854;-0.1999;0.7467;-1.221;-0.8508;
Q3a1;0.0854;-0.1999;0.7467;-1.221;-0.8508;
Q1a;0.0854;-0.1999;0.7467;-1.221;-0.8508;
M73a;0.0854;-0.1364;0.6275;-0.8978;-0.621;
Q1a1a;0.0854;-0.1999;0.7467;-1.221;-0.8508;
P1;0.0854;-0.1999;0.7467;-1.221;-0.8508;
Q1+@16223;0.0854;-0.1999;0.7467;-1.221;-0.8508;
Q1f;0.0854;-0.1999;0.7467;-1.221;-0.8508;
P4a1*;0.0854;-0.1999;0.7467;-1.221;-0.8508;
P4a1;0.0854;-0.1999;0.7467;-1.221;-0.8508;
P1+152;0.0854;-0.1024;0.6752;-0.965;-0.6935;
P3b;0.0854;-0.1999;0.7467;-1.221;-0.8508;
Q1d;0.0854;-0.2876;0.5304;-0.8841;-0.5488;
Q3;0.0854;-0.0353;0.5274;-0.6529;-0.438;
P1d1*;0.0854;-0.1999;0.7467;-1.221;-0.8508;
R30a1*;0.0854;-0.202;0.4871;-0.6329;-0.3418;
P1d1a;0.0854;-0.1999;0.7467;-1.221;-0.8508;
B4a1a*1;0.0854;-0.0281;0.4043;-0.619;-0.4064;
Q2a;0.0854;-0.1999;0.7467;-1.221;-0.8508;
Q3b;0.0854;-0.1999;0.7467;-1.221;-0.8508;
P2*1a;0.0854;-0.1999;0.7467;-1.221;-0.8508;
M28b1;0.0854;-0.1999;0.7467;-1.221;-0.8508;
P1d2a;0.0854;-0.1999;0.7467;-1.221;-0.8508;
Q2a3;0.0854;-0.1999;0.7467;-1.221;-0.8508;
M27b1;0.0854;-0.1999;0.7467;-1.221;-0.8508;
P2;0.0854;-0.1999;0.7467;-1.221;-0.8508;
B4a1a1s;0.0854;-0.1999;0.7467;-1.221;-0.8508;
B4a1a1a19;0.0854;-0.1999;0.7467;-1.221;-0.8508;
M28a6;0.0854;-0.1999;0.7467;-1.221;-0.8508;
M27a2a;0.0854;-0.1999;0.7467;-1.221;-0.8508;
M29a;0.0854;-0.1999;0.7467;-1.221;-0.8508;
B4a1a1a;0.0854;-0.1999;0.7467;-1.221;-0.8508;
R14;0.0854;-0.1999;0.7467;-1.221;-0.8508;
Q3a1*;0.0854;-0.1999;0.7467;-1.221;-0.8508;
M28a+204;0.0854;-0.1999;0.7467;-1.221;-0.8508;
P2*2;0.0854;-0.1999;0.7467;-1.221;-0.8508;
Q2a4;0.0854;-0.1999;0.7467;-1.221;-0.8508;
E1a1b4;0.0854;-0.1999;0.7467;-1.221;-0.8508;
M27c;0.0854;-0.1999;0.7467;-1.221;-0.8508;
B4a1a1a1c;0.0854;-0.1999;0.7467;-1.221;-0.8508;
E1a2a1;0.0854;-0.1999;0.7467;-1.221;-0.8508;
M7c3;0.0854;-0.2262;0.5097;-0.7673;-0.4663;
M60a;0.0854;-0.1197;0.3882;-0.4344;-0.2385;
E2b;0.0854;-0.1198;0.3489;-0.5217;-0.2848;
M50*;0.0854;-0.0414;0.4112;-0.2478;-0.0978;
M51a1a*1;0.0854;-0.0524;0.3431;-0.2406;-0.0908;
B4a2a*1;0.0854;-0.0524;0.3431;-0.2406;-0.0908;
F1e3;0.0854;0.1146;0.2085;0.2282;0.2521;
B4a1a*2;0.0854;-0.0524;0.3431;-0.2406;-0.0908;
N21a;0.0854;-0.1035;0.3387;-0.2737;-0.1686;
E1a1b2;0.0854;-0.4461;0.5126;-1.0386;-0.6462;
B4a1a3a1;0.0854;-0.2899;0.524;-0.8019;-0.4686;
M7b1a1b;0.0854;0.1262;0.1667;0.269;0.2605;
M7b1a1d1;0.0854;0.1834;0.1426;0.4329;0.3849;
M7b1a1a3;0.0854;0.1696;0.1392;0.3726;0.3258;
F3a1*1;0.0854;0.1993;0.1144;0.4799;0.4222;
D4a;0.0854;0.2517;0.1075;0.5054;0.4361;
B5a1c1a;0.0854;0.2045;0.1342;0.4646;0.4239;
C7a2;0.0854;0.4917;0.3276;2.5684;4.4966;
M12a1a;0.0854;0.2055;0.1006;0.4267;0.3274;
N9a11;0.0854;0.1971;0.1639;0.4872;0.5319;
F1f*;0.0854;0.1588;0.1548;0.4506;0.4346;
M33c;0.0854;0.1971;0.1639;0.4872;0.5319;
R9b1a3*;0.0854;0.1526;0.1266;0.424;0.401;
B4e;0.0854;0.2708;0.0606;0.3953;0.3305;
D5b3;0.0854;0.167;0.1565;0.3675;0.3481;
R9b1;0.0854;0.3443;-0.0548;0.5848;0.0852;
M12b1a;0.0854;0.1924;0.148;0.445;0.4092;
M72a;0.0854;0.1765;0.1773;0.2625;0.2123;
B4c1b2c;0.0854;0.1953;0.1496;0.3884;0.3551;
M20;0.0854;0.1649;0.1168;0.3493;0.2252;
R9b1a1a*;0.0854;-0.2216;0.5073;-0.6454;-0.3942;
M21b1a*;0.0854;-0.2213;0.5053;-0.6519;-0.3964;
M22a;0.0854;0.0447;0.2046;0.0079;0.0098;
N22a;0.0854;-0.0607;0.2824;-0.1344;-0.092;
N9a6a*1;0.0854;0.0511;0.2525;0.005;0.064;
B4a;0.0854;0.0511;0.2525;0.005;0.064;
B5b2a2a2;0.0854;-0.0417;0.3347;-0.2342;-0.0986;
B4b1a2h*;0.0854;0.0298;0.239;-0.008;0.0536;
M3c1a;0.0854;-0.1866;0.1059;-0.1689;-0.0764;
R21*;0.0854;-0.01;0.2604;-0.0416;-0.0171;
R21;0.0854;-0.0154;0.2624;-0.0485;-0.0237;
M7b1a1i;0.0854;-0.2377;0.5255;-0.7445;-0.4314;
M13'46'61;0.0854;-0.0973;0.7415;-0.739;-0.357;
R7;0.0854;-0.2023;0.5299;-0.6756;-0.3765;
F3a*;0.0854;-0.2913;0.1416;-0.2135;-0.068;
N9a6b;0.0854;-0.2838;0.5105;-0.6936;-0.3652;
G1c;0.0854;0.0293;0.2746;-0.0264;0.0574;
B6a1a;0.0854;-0.2358;-0.2092;0.4029;0.0129;
B4b1a2a;0.0854;0.1317;0.1879;0.3017;0.2773;
M45;0.0854;2.4756;-2.4897;1.3716;-0.2981;
M49;0.0854;1.2131;-1.0724;0.5425;-0.0221;
M38;0.0854;0.6083;-0.3898;0.4446;-0.087;
M58;0.0854;0.6138;-0.4013;0.89;-0.4691;
M3c;0.0854;1.6482;-1.5575;0.7069;-0.0376;
M33a1;0.0854;1.6482;-1.5575;0.7069;-0.0376;
M55;0.0854;1.9671;-1.9772;0.496;-0.0486;
M33b;0.0854;1.6482;-1.5575;0.7069;-0.0376;
M33b1;0.0854;1.9369;-2.132;-0.6521;-0.0333;
HV12b1;0.0854;1.9369;-2.132;-0.6521;-0.0333;
M54;0.0854;4.6652;-6.2202;-4.999;-0.1766;
M;0.0854;0.8718;-0.7971;0.0576;-0.0102;
R;0.0854;1.4751;-1.554;-0.7021;-0.1414;
M91a;0.0854;0.7264;-0.9577;5.6656;-8.114;
M4''67;0.0854;0.6482;-0.4423;0.9361;-0.5455;
M13c;0.0854;0.0895;-0.4392;0.7262;-0.296;
M33a3a*;0.0854;0.5996;-0.3844;0.871;-0.4375;
M50;0.0854;0.3208;-0.0577;0.3652;-0.0604;
M3c+152;0.0854;0.6482;-0.4423;0.9361;-0.5455;
M46a;0.0854;0.3339;0.0554;0.5918;0.2288;
R+16189;0.0854;0.2971;-0.0131;0.5561;0.206;
M5a2a1a2;0.0854;0.6482;-0.4423;0.9361;-0.5455;
M54*;0.0854;0.6482;-0.4423;0.9361;-0.5455;
M60a1;0.0854;0.6482;-0.4423;0.9361;-0.5455;
M35b4;0.0854;0.8139;-0.6273;0.5013;-0.106;
M49a;0.0854;0.8139;-0.6273;0.5013;-0.106;
M4a;0.0854;0.52;-0.2893;0.7644;-0.2606;
M7b;0.0854;0.6815;-0.4853;0.3996;0.0473;
M2c;0.0854;0.8119;-0.6222;0.4079;0.0052;
M30c1;0.0854;0.8504;-0.6681;0.4055;-0.0092;
M38a;0.0854;0.8504;-0.6681;0.4055;-0.0092;
M3d;0.0854;0.6482;-0.4423;0.9361;-0.5455;
M49e;0.0854;1.9902;-1.9511;1.0722;-0.2455;
R6a1*;0.0854;0.6482;-0.4423;0.9361;-0.5455;
G2b1a1;0.0854;-0.3301;-0.3582;0.5138;-0.0143;
M49e1;0.0854;0.6482;-0.4423;0.9361;-0.5455;
R6b;0.0854;0.6482;-0.4423;0.9361;-0.5455;
D4a5;0.0854;0.1405;0.1416;0.3487;0.3097;
M50a2;0.0854;-0.0955;0.3415;-0.5399;-0.5967;
M49e1*;0.0854;0.5654;-0.3436;0.8253;-0.3616;
M10a1;0.0854;0.5654;-0.3436;0.8253;-0.3616;
M49c1;0.0854;0.8504;-0.6681;0.4055;-0.0092;
M43+16311;0.0854;0.3693;-0.1094;0.5626;0.0746;
M18c;0.0854;-0.4238;-0.4362;0.5334;-0.0668;
M65a+@16311;0.0854;0.8504;-0.6681;0.4055;-0.0092;
M61*;0.0854;0.2482;0.07;0.5105;0.3061;
M34a1a;0.0854;0.6482;-0.4423;0.9361;-0.5455;
N8;0.0854;0.1194;0.0331;0.2607;0.1395;
G2a1;0.0854;0.2917;-2e-04;0.5218;0.1635;
M12a2*;0.0854;0.6482;-0.4423;0.9361;-0.5455;
M10a;0.0854;-0.4238;-0.4362;0.5334;-0.0668;
M68;0.0854;0.6482;-0.4423;0.9361;-0.5455;
R9c1b1*;0.0854;0.3255;-0.0543;0.5993;0.097;
M9a1b+150;0.0854;1.9369;-2.132;-0.6521;-0.0333;
U7a3b;0.0854;-0.0974;0.4793;-0.3911;-0.1912;
D5a2a1+@16172;0.0854;0.6482;-0.4423;0.9361;-0.5455;
M31b1;0.0854;0.6482;-0.4423;0.9361;-0.5455;
D6a2;0.0854;-0.2815;0.5308;-0.866;-0.5278;
E1a1a1c;0.0854;-0.2925;0.5546;-0.9358;-0.5761;
M17c1;0.0854;-0.2925;0.5546;-0.9358;-0.5761;
R24a;0.0854;-0.2503;0.5185;-0.7954;-0.4804;
B5b1c1a;0.0854;-0.4066;0.6399;-1.2552;-0.8137;
M17c1a1*;0.0854;-0.2297;0.4929;-0.7396;-0.4553;
P9a*;0.0854;-0.2356;0.6322;-1.294;-0.8607;
P9*;0.0854;-0.2356;0.6322;-1.294;-0.8607;
M52a1b1;0.0854;-0.2356;0.6322;-1.294;-0.8607;
B5;0.0854;-0.2356;0.6322;-1.294;-0.8607;
M7c1c;0.0854;-0.2356;0.6322;-1.294;-0.8607;
